Area,fid,X,Y,6year,10year,30year,100year,1000year
224,140,490745.8442,379594.004,30.6,35.1,45.7,59.3,98.5
224,140,496659.0755,370611.4597,30.6,35.1,45.7,59.3,98.5
1,141,493621.6473,366972.2973,30.6,35.1,45.7,59.3,98.5
1,144,517788.6303,369364.3072,30.6,35.1,45.7,59.3,98.5
107,146,503435.6281,368842.5583,30.6,35.1,45.7,59.3,98.5
341,147,509418.6253,379732.1475,30.6,35.1,45.7,59.3,98.5
355,240,477266.8915,504542.0546,30.6,35.1,45.7,59.3,98.5
188,241,503886.095,488044.2905,30.6,35.1,45.7,59.3,98.5
188,241,503221.6408,487972.8248,30.6,35.1,45.7,59.3,98.5
258,242,502941.035,471022.5714,30.6,35.1,45.7,59.3,98.5
258,242,518000.534,467791.9894,30.6,35.1,45.7,59.3,98.5
446,243,525050.9033,432201.7456,30.6,35.1,45.7,59.3,98.5
312,244,416540.4563,516101.6778,30.6,35.1,45.7,59.3,98.5
524,245,389439.4259,524831.6797,30.6,35.1,45.7,59.3,98.5
524,245,378266.7939,522990.61,30.6,35.1,45.7,59.3,98.5
130,246,397563.1069,510556.0267,30.6,35.1,45.7,59.3,98.5
319,247,458946.3947,524179.2,30.6,35.1,45.7,59.3,98.5
319,247,454625.5594,519412.2932,30.6,35.1,45.7,59.3,98.5
319,247,469408.5335,516744.9574,30.6,35.1,45.7,59.3,98.5
401,248,465298.7033,420276.7388,30.6,35.1,45.7,59.3,98.5
251,249,453849.3072,425670.281,30.6,35.1,45.7,59.3,98.5
251,249,443405.3076,425082.268,30.6,35.1,45.7,59.3,98.5
251,249,445871.3852,421866.8259,30.6,35.1,45.7,59.3,98.5
209,250,459923.4303,433638.7939,30.6,35.1,45.7,59.3,98.5
200,251,514356.8149,440946.9996,30.6,35.1,45.7,59.3,98.5
817,252,500941.9373,450704.8566,30.6,35.1,45.7,59.3,98.5
817,252,504297.2222,438790.9356,30.6,35.1,45.7,59.3,98.5
817,252,509882.7186,430667.3507,30.6,35.1,45.7,59.3,98.5
385,253,488023.2386,434854.9657,30.6,35.1,45.7,59.3,98.5
484,254,370264.5035,589554.5865,30.6,35.1,45.7,59.3,98.5
375,255,430662.2801,556374.6192,30.6,35.1,45.7,59.3,98.5
375,255,438038.0669,556246.2138,30.6,35.1,45.7,59.3,98.5
375,255,427024.2886,551678.4966,30.6,35.1,45.7,59.3,98.5
375,255,431761.6414,548783.3494,30.6,35.1,45.7,59.3,98.5
375,255,427857.26,543228.4476,30.6,35.1,45.7,59.3,98.5
658,256,404827.0051,535192.3658,30.6,35.1,45.7,59.3,98.5
658,256,420450.0199,528421.2913,30.6,35.1,45.7,59.3,98.5
126,257,390949.0417,556973.5287,30.6,35.1,45.7,59.3,98.5
807,258,374669.0456,555470.6742,30.6,35.1,45.7,59.3,98.5
300,259,387459.45,575912.1409,30.6,35.1,45.7,59.3,98.5
346,260,384263.2581,596017.2578,30.6,35.1,45.7,59.3,98.5
52,261,445731.3531,516628.0378,30.6,35.1,45.7,59.3,98.5
52,261,446329.5442,515264.582,30.6,35.1,45.7,59.3,98.5
173,262,435396.3485,509896.9073,30.6,35.1,45.7,59.3,98.5
206,263,453167.638,507611.6398,30.6,35.1,45.7,59.3,98.5
207,264,430889.4758,525989.6016,30.6,35.1,45.7,59.3,98.5
207,264,427492.4872,524543.2376,30.6,35.1,45.7,59.3,98.5
207,264,428970.8028,515151.4779,30.6,35.1,45.7,59.3,98.5
177,265,416450.0979,544534.8358,30.6,35.1,45.7,59.3,98.5
256,266,441956.0854,540778.1397,30.6,35.1,45.7,59.3,98.5
256,266,444465.6957,537397.3078,30.6,35.1,45.7,59.3,98.5
