fid,Area,X,Y
297,886,398943.246,451344.5446
462,102,430436.5964,581089.3364
461,337,426135.9489,577178.0172
462,102,434319.9638,572350.2728
456,268,427747.8857,569652.6447
456,268,431813.4496,570009.0303
456,268,430809.4378,567467.1593
456,268,423527.6438,566309.2857
456,268,436961.6528,565151.4151
456,268,433556.4079,564086.5243
456,268,426272.5233,561121.8001
255,375,430662.2801,556374.6192
255,375,438038.0669,556246.2138
466,256,339946.564,555832.364
255,375,427024.2886,551678.4966
458,266,410470.8076,551102.3671
255,375,427857.26,543228.4476
266,256,441956.0854,540778.1397
266,256,450302.5575,531744.634
256,658,420450.0199,528421.2913
428,686,299694.8701,527743.1089
264,207,427492.4872,524543.2376
247,319,458946.3947,524179.2
267,81,446684.4999,523520.7958
245,524,378266.7939,522990.61
268,143,443436.3766,519843.5247
247,319,454625.5594,519412.2932
261,52,445731.3531,516628.0378
267,81,451028.8719,518625.614
435,86,298068.5129,517200.9336
264,207,428970.8028,515151.4779
422,287,351868.3241,492460.2478
241,188,503221.6408,487972.8248
433,907,320255.1619,469779.5049
242,258,518000.534,467791.9894
444,119,344473.4287,463757.6342
444,119,347893.2567,461655.3596
293,514,430464.8629,455236.6424
287,174,460856.6453,452357.1255
449,674,332445.7182,446655.8344
297,886,406152.0289,441168.1549
252,817,504297.2222,438790.9356
297,886,429932.57,434968.7169
297,886,421778.4038,433831.6115
449,674,332329.2832,435910.3902
439,326,383864.6738,432956.4552
297,886,415811.5762,433432.2556
436,145,352809.2158,432491.0374
252,817,509882.7186,430667.3507
436,145,354233.512,430722.6662
449,674,334083.9445,428723.0579
439,326,376228.7734,428498.9805
437,147,368377.558,427861.7082
297,886,426471.2839,427839.5894
436,145,356308.4011,425669.5147
298,963,408096.8268,425547.4416
249,251,443405.3076,425082.268
298,963,423607.2252,425102.0798
298,963,439130.9756,423131.3147
440,165,381856.2232,423253.8046
298,963,414027.7368,423435.6817
437,147,369312.9458,422429.3668
443,407,353896.2416,422344.5655
249,251,445871.3852,421866.8259
298,963,424405.5155,421102.1216
298,963,432802.5932,421052.3444
331,469,516198.532,417952.408
443,407,358254.6852,417556.9281
298,963,414002.2472,417216.8055
441,510,334043.9928,415943.0039
331,469,519513.8896,415172.0543
400,192,389166.7171,413181.8279
400,192,381478.0381,407539.3155
399,411,371510.2051,410014.4258
318,101,489742.3614,409878.0681
400,192,385024.8063,410180.6006
331,469,526099.4856,409010.9688
441,510,341239.5465,407598.5598
441,510,329569.4641,407338.9994
305,320,435412.4817,407010.7446
443,407,348336.9262,406371.2007
399,411,387126.4027,406091.9308
443,407,357005.8773,405260.9596
399,411,393034.7649,404577.2469
399,411,389886.2568,404651.6315
328,289,458958.1866,402196.0109
305,320,443468.3155,401049.6801
397,208,365519.3083,400317.852
398,699,393950.1524,399761.0333
403,181,357411.025,399765.4406
441,510,332131.5228,399015.7268
399,411,381246.2889,399408.5495
399,411,376367.2691,398599.1704
441,510,341887.6041,398621.4639
397,208,361750.2895,397791.6193
399,411,385618.2177,397187.3992
399,411,379546.551,396509.9562
441,510,334792.7392,397026.9365
398,699,395273.937,394995.987
399,411,375754.4706,395066.377
398,699,392169.9936,394983.1748
403,181,351323.3459,394711.4989
304,82,442755.0467,392761.6903
323,903,448123.3142,392462.4204
394,477,329047.2699,391447.9408
398,699,378360.7713,391527.0115
401,185,347877.745,391747.766
441,510,343892.0283,391301.709
441,510,339257.546,389885.34
398,699,389339.4933,389972.3432
324,515,482068.627,389992.273
398,699,382951.7094,387336.9188
397,208,377342.3646,388780.3183
403,181,362199.6849,390476.9847
394,477,330021.8926,388050.2859
306,423,436245.7108,386577.5559
401,185,351400.1946,386230.8015
404,290,380022.161,385159.4157
394,477,334082.8669,382827.7365
394,477,326843.9965,382656.2937
401,185,352870.6692,381725.4892
323,903,470330.5433,380982.0384
404,290,384551.981,381080.0205
323,903,458739.2397,379718.8906
394,477,340087.5676,376006.9022
404,290,391172.7503,373759.0382
307,401,437668.699,371895.7548
140,224,496659.0755,370611.4597
392,650,365114.0216,366184.8964
391,428,385809.0531,363155.7928
345,347,555962.6256,363874.7899
323,903,454119.3905,360645.2262
323,903,449314.3025,358843.6749
392,650,369999.0521,355523.0517
324,515,480304.4602,353660.2012
141,704,491520.7498,335927.7804
417,315,340417.5208,366541.3446
140,224,490745.8442,379594.004
141,704,489103.7188,343371.1074
144,282,513173.6444,364641.171
146,107,503435.6281,368842.5583
147,341,509418.6253,379732.1475
240,355,477266.8915,504542.0546
241,188,503886.095,488044.2905
242,258,502941.035,471022.5714
243,446,525050.9033,432201.7456
244,312,416540.4563,516101.6778
245,524,389439.4259,524831.6797
246,130,397563.1069,510556.0267
247,319,469408.5335,516744.9574
248,401,465298.7033,420276.7388
249,251,453849.3072,425670.281
250,209,459923.4303,433638.7939
251,200,514356.8149,440946.9996
252,817,500941.9373,450704.8566
253,385,488023.2386,434854.9657
254,484,370264.5035,589554.5865
255,375,431761.6414,548783.3494
256,658,404827.0051,535192.3658
257,126,390949.0417,556973.5287
258,807,374669.0456,555470.6742
259,300,387459.45,575912.1409
260,346,384263.2581,596017.2578
261,52,446329.5442,515264.582
262,173,435396.3485,509896.9073
263,206,453167.638,507611.6398
264,207,430889.4758,525989.6016
265,177,416450.0979,544534.8358
266,256,444465.6957,537397.3078
267,81,450427.2238,519863.4338
268,143,439261.1596,522652.044
269,124,412837.9806,448917.0519
270,52,436851.6398,478000.294
271,222,445532.5316,486702.8385
272,110,465109.5162,475966.7611
273,49,442418.628,472095.3994
274,167,434538.3738,465557.4754
275,161,479307.757,484180.4932
276,488,493275.8635,484380.3634
277,738,404208.1372,485350.6143
278,223,437594.3973,496629.9509
279,49,433079.525,486480.2586
280,128,405709.7899,460069.9142
281,119,473813.3573,492230.2063
282,153,466944.0523,492367.1113
283,298,458146.2038,489708.446
284,120,422821.4155,471673.7942
285,105,461244.8046,446388.1226
286,140,443073.7042,440925.8903
287,174,462936.1507,462757.0608
288,113,455292.9468,453893.4983
289,99,470715.3757,435702.426
290,371,474976.9664,462731.7073
291,204,480195.9084,449670.6453
292,118,451540.1761,440588.5618
293,514,424804.163,461165.8275
294,78,446248.2137,461571.584
295,202,452764.9165,469785.48
296,133,418827.941,452603.5003
297,886,409343.8957,442793.5404
298,963,413565.4348,420282.8529
299,133,434423.557,445509.9388
304,82,444770.24,395977.8067
305,320,435185.8454,406181.1465
306,423,428239.7772,393065.8349
307,401,440824.4713,375515.0484
311,1019,411865.5688,346530.7054
316,62,485124.2001,415917.2111
317,30,480151.5831,411190.5875
318,101,487828.359,408204.3046
319,166,421936.5583,490004.4605
320,611,406738.8792,500965.0471
321,80,399713.6379,465810.694
322,200,390944.4573,475317.2411
323,903,461132.766,377662.6712
324,515,479203.9602,371802.8386
325,51,453903.0838,401400.686
326,101,450302.7877,409022.2643
327,168,464774.4753,411754.3497
328,289,465398.0436,400735.1963
329,123,490106.0245,397759.8835
330,97,482389.4698,397504.2782
331,469,515063.6392,412264.1406
332,306,527716.6194,395254.1511
333,131,540113.7918,391945.0648
334,201,539256.8182,381869.9159
337,69,490904.4166,420219.5366
338,553,502954.6814,400053.5485
342,523,526595.0592,362147.6
343,98,550650.228,379962.2545
344,144,548890.8612,371351.2719
345,347,542964.5759,361874.2789
356,281,414718.061,370726.3169
357,354,419179.756,383187.0663
391,428,382914.304,363725.7304
392,650,365254.0411,351651.9325
394,477,340109.4538,375299.6843
395,145,358092.8673,375742.7415
396,209,375478.2655,375189.7859
397,208,367791.8059,399031.5322
398,699,397283.8083,392028.5206
399,411,379630.3829,405885.2672
400,192,389141.4754,413793.4996
